id;active;year;gender;want_spam;balance;undo_count
206;t;2013;M;t;4600;0
207;f;2007;M;t;0;0
208;f;2006;F;t;600;0
209;t;2015;M;t;4400;0
210;f;2015;F;t;350;0
211;f;2008;U;t;2350;0
212;f;1997;M;t;2025;0
213;t;2015;M;t;950;0
214;t;2002;U;t;0;0
215;f;2001;M;t;75450;0
216;f;1987;U;t;0;0
217;t;2013;F;t;500;0
218;f;1987;U;t;0;0
219;f;2003;M;t;0;0
220;t;2010;M;t;450;0
221;f;1997;M;t;975;0
222;t;2004;M;t;2786;0
223;f;1975;M;t;0;0
224;f;1993;M;t;0;0
225;f;2003;U;t;1150;0
226;f;2003;M;t;-1175;0
227;f;1990;M;t;0;0
228;t;2004;M;t;7600;0
229;f;1999;U;t;-22000;0
230;t;2015;M;t;300;0
231;f;1997;M;t;-33775;0
232;f;1984;M;t;0;0
233;t;2014;M;t;0;0
234;f;1992;M;t;0;0
235;f;1998;M;t;-1325;0
236;f;1997;U;t;0;0
237;f;1988;M;t;0;0
238;f;1983;U;t;0;0
239;f;2005;M;t;25;0
240;f;2002;M;t;-2225;0
241;f;2002;M;t;-2150;0
242;f;2009;M;t;100;0
243;f;2003;U;t;2675;0
244;f;1994;M;t;0;0
245;t;2017;M;t;5500;0
246;f;2005;M;t;0;0
247;f;2009;U;t;0;0
248;f;2001;U;t;-150;0
249;f;2014;M;t;0;0
250;f;1978;M;t;0;0
251;f;1976;M;t;0;0
252;f;1985;M;t;0;0
253;t;2013;M;t;100;0
254;t;2012;M;t;1550;0
255;t;2008;U;f;550;0
256;f;2003;M;t;0;0
257;f;1997;M;t;13650;0
258;f;1999;M;t;-16100;0
259;t;2012;M;t;0;0
260;f;1997;M;t;-21275;0
261;f;2006;F;t;1450;0
262;t;2015;M;t;7750;0
263;t;2013;M;t;18850;0
264;f;1998;M;t;-3750;0
265;f;2000;M;t;4125;0
266;f;2003;M;t;-550;0
267;f;1986;M;t;0;0
268;f;2011;M;t;950;0
269;f;1988;M;t;0;0
270;f;2006;M;t;356;0
271;f;2001;U;t;3000;0
272;f;1994;M;t;0;0
273;f;2009;M;t;0;0
274;t;2009;F;t;200;0
275;f;2012;M;t;17600;0
276;f;1984;U;t;0;0
277;f;1999;F;t;25;0
278;f;2004;M;t;3750;0
279;f;2002;M;t;0;0
280;f;1990;U;t;0;0
281;f;2011;M;t;7650;0
282;t;2015;M;t;250;0
283;f;1990;M;t;0;0
284;f;1999;M;t;400;0
285;f;1981;M;t;0;0
286;f;1983;U;t;0;0
287;t;2014;M;t;50;0
288;f;1994;M;t;0;0
289;t;2014;F;t;250;0
290;f;1996;M;t;0;0
